eventid	winner	players	playerid	deckname	deckcost	sidebarcost
100	True	8	107526	Landstill	34545.67	181.13
100	False	8	107527	UG Thresh	13406.41	258.23
100	False	8	107530	Aluren	22367.63	125.5
100	False	8	107529	Welder Survival	22487.54	129.63
100	False	8	107534	DeezNought	21603.87	78.19
100	False	8	107533	Landstill	34243.39	174.17
100	False	8	107531	UG Thresh	13381.59	64.02
100	False	8	107532	UGr Thresh	22834.28	213.91
10000	True	8	257688	Abzan Midrange	1430.93	18.34
10000	False	8	257689	Devotion to Green	1534.9	47.57
10000	False	8	257687	Mardu Aggro	1329.02	24.47
10000	False	8	257686	Mardu Midrange	1314.82	27.04
10000	False	8	257683	Abzan Midrange	1489.64	18.13
10000	False	8	257684	Abzan Midrange	1340.0	29.65
10000	False	8	257682	Abzan Midrange	1500.82	88.57
10000	False	8	257685	Esper Dragons	2191.77	26.69
10001	True	9	257706	Zoo	3365.51	96.99
10001	False	9	257707	Twin Exarch	3157.68	104.65
10001	False	9	257697	Infect	2611.87	76.65
10001	False	9	257705	Jund	2658.37	95.4
10001	False	9	257696	Infect	2228.11	77.94
10001	False	9	257704	Red Deck Wins	2959.78	34.74
10001	False	9	257700	Twin Exarch	2588.18	76.71
10002	True	8	257708	UWr Control	2292.12	91.62
10002	False	8	257709	Burn	2713.94	26.58
10002	False	8	257710	Grixis Control	2810.24	67.98
10002	False	8	257711	GrTron	1149.97	98.72
10002	False	8	257715	Affinity	1523.17	78.08
10002	False	8	257712	Grixis Control	2935.92	82.87
10002	False	8	257713	Sword Tron	2212.0	227.94
10003	True	3	257718	Affinity	1577.25	125.77
10003	False	3	257717	Twin Exarch	1889.21	81.21
10004	True	2	257720	Tokens	1973.65	78.2
10004	False	2	257719	Living End	1488.93	32.85
10005	True	4	257721	Red Deck Wins	216.39	7.6
10005	False	4	257722	Abzan Midrange	1489.27	78.5
10005	False	4	257723	Red Deck Wins	331.04	13.53
10005	False	4	257724	Abzan Midrange	1457.06	116.17
10006	True	8	257729	Yisan the Wanderer Bard	3988.13	494.35
10006	False	8	257727	Marath Will of the Wild	10036.76	574.33
10006	False	8	257730	Grand Arbiter Augustin IV	5979.85	325.57
10006	False	8	257725	Tasigur the Golden Fang	11891.67	467.06
10006	False	8	257728	Grand Arbiter Augustin IV	6811.01	705.06
10006	False	8	257731	Vendilion Clique	2530.7	299.09
10006	False	8	257726	Yisan the Wanderer Bard	3965.34	426.27
10006	False	8	257732	Zurgo Bellstriker	868.55	145.69
10007	True	2	257733	Sidisi Brood Tyrant  Reanimator	13208.77	1010.01
10007	False	2	257734	Narset Enlightened Master	10657.22	759.13
10008	True	1	257735	Oath of Druids	101468.85	212.21
10009	True	1	257736	Trini Choke	11032.53	182.97
1001	True	8	209161	Kudotha Rebirth	1008.15	12.67
1001	False	8	209162	Tezzeret Control	1384.5	36.26
1001	False	8	209163	Valakut Ramp	808.1	14.46
1001	False	8	209165	Eldrazi Green	791.06	101.54
1001	False	8	209166	Tezzeret Control	1090.22	28.52
1001	False	8	209167	UG Ramp	1167.35	58.47
1001	False	8	209168	Valakut Ramp	581.09	139.22
10010	True	4	257740	Merfolk	2373.43	180.91
10010	False	4	257739	Scapeshift	1983.46	49.32
10010	False	4	257737	Naya Burn	2744.49	22.53
10011	True	6	257746	Gr Tron	1223.02	153.44
10011	False	6	257745	Zoo	3307.03	114.24
10011	False	6	257744	Merfolk	1885.9	163.4
10011	False	6	257742	Sunny Side Up	1937.29	114.18
10011	False	6	257741	Twin Exarch	2933.21	119.43
10012	True	6	257752	Grixis Control	3005.54	120.9
10012	False	6	257751	Affinity	1671.94	210.66
10012	False	6	257747	Infect	2466.56	53.92
10012	False	6	257748	Bloom Titan	1046.62	52.04
10012	False	6	257750	Junk	2655.68	136.7
10012	False	6	257749	Infect	1917.89	66.44
10013	False	7	257753	Naya Burn	2631.29	35.75
10013	False	7	257759	Podless Collected	2827.55	57.1
10013	False	7	257758	Grixis Control	3170.18	142.15
10013	False	7	257754	Living End	2411.39	71.41
10013	False	7	257755	Gift Tron	1340.01	151.56
10013	False	7	257757	Affinity	1626.91	166.41
10013	False	7	257756	Merfolk	2130.95	60.9
